,name,all_th,img_th,text_th,f1score,precision,recall
334,vote6,0.55,0.7000000000000002,0.6500000000000001,0.8492803698857773,0.9635279455282529,0.8138404633883756
209,vote6,0.5,0.7500000000000002,0.8000000000000003,0.8487883378398946,0.9674714788437815,0.8103535102269644
354,vote6,0.55,0.7500000000000002,0.6000000000000001,0.8485656724656797,0.96374396239398,0.8126185308192017
239,vote6,0.5,0.8000000000000003,0.7500000000000002,0.848371772991923,0.9656699130188356,0.8106871979892355
359,vote6,0.55,0.7500000000000002,0.6500000000000001,0.8466705134653938,0.9656618733967568,0.8088281093555945
339,vote6,0.55,0.7000000000000002,0.7000000000000002,0.8465958191724646,0.9651945873213634,0.8091705257870317
319,vote6,0.55,0.6500000000000001,0.7500000000000002,0.8463304474232467,0.9646368354728615,0.8094863789727977
344,vote6,0.55,0.7000000000000002,0.7500000000000002,0.8438032192814795,0.9668749363698453,0.8043868081508211
364,vote6,0.55,0.7500000000000002,0.7000000000000002,0.8434065748358375,0.9670566743937464,0.8035182172611055
244,vote6,0.5,0.8000000000000003,0.8000000000000003,0.8425881988951732,0.9693893777558604,0.8000202419373024
369,vote6,0.55,0.7500000000000002,0.7500000000000002,0.8399538969721426,0.9687065314203368,0.7977149454615169
242,vote4,0.5,0.8000000000000003,0.8000000000000003,0.8202346982756196,0.8142058856199393,0.8853948578181828
207,vote4,0.5,0.7500000000000002,0.8000000000000003,0.8199825430249865,0.8099180135050161,0.8892546948183682
172,vote4,0.5,0.7000000000000002,0.8000000000000003,0.8182985952091232,0.8041605344988606,0.8927358979440642
137,vote4,0.5,0.6500000000000001,0.8000000000000003,0.8167246655543732,0.7977294371215436,0.8969100924225129
237,vote4,0.5,0.8000000000000003,0.7500000000000002,0.815319316622083,0.8021189562572582,0.8906752636246588
102,vote4,0.5,0.6000000000000001,0.8000000000000003,0.8152386168403254,0.7905199596617507,0.9025331346274419
202,vote4,0.5,0.7500000000000002,0.7500000000000002,0.8146632438446266,0.7976407067306138,0.8943673536235018
167,vote4,0.5,0.7000000000000002,0.7500000000000002,0.8124070769911469,0.7916839054106697,0.89735979189154
67,vote4,0.5,0.55,0.8000000000000003,0.812070343436608,0.7812621586211428,0.9082481984813243
232,vote4,0.5,0.8000000000000003,0.7000000000000002,0.8117692490826449,0.7906737061670467,0.8977579584941261
197,vote4,0.5,0.7500000000000002,0.7000000000000002,0.8105594061659999,0.7860037887031086,0.9010464187875986
132,vote4,0.5,0.6500000000000001,0.7500000000000002,0.8104709701035467,0.7850940386815651,0.9013628756932747
32,vote4,0.5,0.5,0.8000000000000003,0.8085350035891365,0.7714013718842766,0.9138748094236709
97,vote4,0.5,0.6000000000000001,0.7500000000000002,0.8080507743426962,0.7773103501959058,0.9064150677831512
367,vote4,0.55,0.7500000000000002,0.7500000000000002,0.8079150776743182,0.8032787716549715,0.8765061961195839
162,vote4,0.5,0.7000000000000002,0.7000000000000002,0.8077633638796997,0.7796389206009255,0.9038195583587078
227,vote4,0.5,0.8000000000000003,0.6500000000000001,0.8060373543661011,0.776541394167185,0.9045589569989256
342,vote4,0.55,0.7000000000000002,0.7500000000000002,0.8059385788373172,0.7971313022429947,0.8801262263974923
127,vote4,0.5,0.6500000000000001,0.7000000000000002,0.8050026236842609,0.7725647987402016,0.9072412462838719
362,vote4,0.55,0.7500000000000002,0.7000000000000002,0.8046882001586162,0.7918666391713284,0.88414662596356
317,vote4,0.55,0.6500000000000001,0.7500000000000002,0.8046349552923586,0.7907973251234068,0.8847463391539541
62,vote4,0.5,0.55,0.7500000000000002,0.8043129668365688,0.7679751357027434,0.9114351103919385
192,vote4,0.5,0.7500000000000002,0.6500000000000001,0.8041612417440935,0.7715799815342422,0.9071536050547241
292,vote4,0.55,0.6000000000000001,0.7500000000000002,0.8031685672044239,0.7840891664265477,0.8901504147065333
337,vote4,0.55,0.7000000000000002,0.7000000000000002,0.8021855947516436,0.7854079259185665,0.8874835133789937
92,vote4,0.5,0.6000000000000001,0.7000000000000002,0.8021820523467362,0.764848694876045,0.9119552727045152
241,vote3,0.5,0.8000000000000003,0.8000000000000003,0.801156435757432,0.7585109835032028,0.9097473238988267
157,vote4,0.5,0.7000000000000002,0.6500000000000001,0.8008321201577812,0.76511893366985,0.90932492590463
27,vote4,0.5,0.5,0.7500000000000002,0.800425470442727,0.7578983377222053,0.9171515185656074
267,vote4,0.55,0.55,0.7500000000000002,0.8003827468039919,0.7757726020576186,0.8952073711935732
312,vote4,0.55,0.6500000000000001,0.7000000000000002,0.799979771410607,0.7785607579828058,0.8913930971944644
357,vote4,0.55,0.7500000000000002,0.6500000000000001,0.7991369237505646,0.7781937841369678,0.8903690413176527
222,vote4,0.5,0.8000000000000003,0.6000000000000001,0.7989560716145324,0.7616516811397325,0.9099725301490308
206,vote3,0.5,0.7500000000000002,0.8000000000000003,0.7988872071239483,0.7534299270311723,0.9121645730968861
287,vote4,0.55,0.6000000000000001,0.7000000000000002,0.7977578719623142,0.7718357285678971,0.8956665374846288
57,vote4,0.5,0.55,0.7000000000000002,0.7975384962000897,0.7550192163499455,0.9161730544311292
122,vote4,0.5,0.6500000000000001,0.6500000000000001,0.7975315822764679,0.7578823940466036,0.9124677264399191
187,vote4,0.5,0.7500000000000002,0.6000000000000001,0.7968436713164754,0.7567361653037393,0.9124213727190807
171,vote3,0.5,0.7000000000000002,0.8000000000000003,0.7962859297333176,0.7466847892992241,0.9157588614737486
332,vote4,0.55,0.7000000000000002,0.6500000000000001,0.7961425844370197,0.7716803593731707,0.8932256398839938
236,vote3,0.5,0.8000000000000003,0.7500000000000002,0.7951660165270734,0.7464992902169849,0.914226586276179
87,vote4,0.5,0.6000000000000001,0.6500000000000001,0.7941290099559453,0.7501398219459546,0.9163544360659788
262,vote4,0.55,0.55,0.7000000000000002,0.7938767072990022,0.7631156515559614,0.8995023326224093
307,vote4,0.55,0.6500000000000001,0.6500000000000001,0.7932657961799953,0.7647057386788321,0.8966257880139614
152,vote4,0.5,0.7000000000000002,0.6000000000000001,0.7932365209183202,0.7502476335744335,0.9144769372061335
136,vote3,0.5,0.6500000000000001,0.8000000000000003,0.7926456172804158,0.7384104825493696,0.9200225456887372
201,vote3,0.5,0.7500000000000002,0.7500000000000002,0.7925655395690424,0.7412444366892027,0.9165611643389426
352,vote4,0.55,0.7500000000000002,0.6000000000000001,0.7925248101267964,0.7640918814902481,0.8953304666060967
22,vote4,0.5,0.5,0.7000000000000002,0.7924802830362226,0.7442625208521577,0.9209359057361183
217,vote4,0.5,0.8000000000000003,0.55,0.7917597254164074,0.745749111757202,0.9163754813384903
282,vote4,0.55,0.6000000000000001,0.6500000000000001,0.790093823247105,0.7575555011286834,0.8998371967197768
182,vote4,0.5,0.7500000000000002,0.55,0.7894995589712085,0.7409558699565775,0.9185163163433829
166,vote3,0.5,0.7000000000000002,0.7500000000000002,0.7893780138628025,0.7341186407224574,0.9198723868033217
117,vote4,0.5,0.6500000000000001,0.6000000000000001,0.7893503440394194,0.7428264928505076,0.917142608933373
327,vote4,0.55,0.7000000000000002,0.6000000000000001,0.7891492391813582,0.757522420158979,0.8977217347046831
366,vote3,0.55,0.7500000000000002,0.7500000000000002,0.7887952593585704,0.7473130897851874,0.9013252005025658
52,vote4,0.5,0.55,0.6500000000000001,0.7887447408880699,0.7398309198302903,0.9201151261596482
101,vote3,0.5,0.6000000000000001,0.8000000000000003,0.788491966486469,0.7290502096529707,0.9251376625846377
231,vote3,0.5,0.8000000000000003,0.7000000000000002,0.7883890241916406,0.7329754476549319,0.9197355811281842
341,vote3,0.55,0.7000000000000002,0.7500000000000002,0.786345948199719,0.7407896761709897,0.9051340127566032
302,vote4,0.55,0.6500000000000001,0.6000000000000001,0.7857348528616013,0.7505184837375737,0.9005251193241459
347,vote4,0.55,0.7500000000000002,0.55,0.785685566742598,0.74951589192601,0.9003726632298721
196,vote3,0.5,0.7500000000000002,0.7000000000000002,0.7855363104191434,0.7276998665637991,0.9216686087699221
147,vote4,0.5,0.7000000000000002,0.55,0.7853159990753966,0.7342379352732591,0.9200244068512221
257,vote4,0.55,0.55,0.6500000000000001,0.7853159259020452,0.7481668960267233,0.9031376320916167
131,vote3,0.5,0.6500000000000001,0.7500000000000002,0.7852442197680847,0.7256815574941201,0.9237593479396081
82,vote4,0.5,0.6000000000000001,0.6000000000000001,0.7847955460871907,0.734424518502868,0.9200572365519173
212,vote4,0.5,0.8000000000000003,0.5,0.7844347534469013,0.7312686282190093,0.9218043479761927
66,vote3,0.5,0.55,0.8000000000000003,0.7837595406512048,0.7192918997028572,0.9294314258280032
316,vote3,0.55,0.6500000000000001,0.7500000000000002,0.7831586239169486,0.7330666069368492,0.9095110204276448
17,vote4,0.5,0.5,0.6500000000000001,0.7825025670083331,0.7283928197767694,0.9240033849072482
361,vote3,0.55,0.7500000000000002,0.7000000000000002,0.782479971237354,0.7337601901095758,0.9073102606598706
322,vote4,0.55,0.7000000000000002,0.55,0.781906594595503,0.742767815532914,0.902429204214025
161,vote3,0.5,0.7000000000000002,0.7000000000000002,0.7818613486408965,0.7205379524012364,0.9245459227163403
177,vote4,0.5,0.7500000000000002,0.5,0.7816836009157683,0.7262836053159437,0.9235168283139782
277,vote4,0.55,0.6000000000000001,0.6000000000000001,0.7815165376542931,0.7426186017724652,0.9030986226212719
112,vote4,0.5,0.6500000000000001,0.55,0.7809477316600761,0.7269801861699707,0.9219264737195616
96,vote3,0.5,0.6000000000000001,0.7500000000000002,0.7807813138891445,0.7163867261223127,0.9285359918722347
291,vote3,0.55,0.6000000000000001,0.7500000000000002,0.7795300424977489,0.724839151745821,0.9140571390762798
336,vote3,0.55,0.7000000000000002,0.7000000000000002,0.7793205765909831,0.7271517071849769,0.9104229397273252
226,vote3,0.5,0.8000000000000003,0.6500000000000001,0.7790003219917143,0.716391874416797,0.9244426162220782
47,vote4,0.5,0.55,0.6000000000000001,0.7786059686278697,0.7233458238520303,0.9236241868492344
297,vote4,0.55,0.6500000000000001,0.55,0.7781272183416856,0.7360243184519228,0.9045916215331037
31,vote3,0.5,0.5,0.8000000000000003,0.7777821677743619,0.707404059181326,0.9346850669449839
126,vote3,0.5,0.6500000000000001,0.7000000000000002,0.7773796732236162,0.7121781458516679,0.9279029883926729
142,vote4,0.5,0.7000000000000002,0.5,0.7772723505525384,0.7195774347587889,0.9247382289363064
191,vote3,0.5,0.7500000000000002,0.6500000000000001,0.7759436436609377,0.7111120160482152,0.9262736829480488
77,vote4,0.5,0.6000000000000001,0.55,0.7758530436667588,0.7184715623235486,0.9243513554539959
252,vote4,0.55,0.55,0.6000000000000001,0.7758162198954148,0.7323982998331539,0.906044090487913
311,vote3,0.55,0.6500000000000001,0.7000000000000002,0.775628191374533,0.7195753158885019,0.9139049656963394
61,vote3,0.5,0.55,0.7500000000000002,0.7751945118969747,0.7059581953916936,0.9325885677892274
266,vote3,0.55,0.55,0.7500000000000002,0.7745614822745569,0.7152698351941944,0.9176027154431566
356,vote3,0.55,0.7500000000000002,0.6500000000000001,0.7742228156623427,0.7180829559874764,0.9125637241511858
272,vote4,0.55,0.6000000000000001,0.55,0.7730286960593179,0.7277548254732643,0.9064415574973838
107,vote4,0.5,0.6500000000000001,0.5,0.7727136842859051,0.7127008808555934,0.9260462874202341
91,vote3,0.5,0.6000000000000001,0.7000000000000002,0.7720550370855687,0.7025024727227067,0.9318443353746262
156,vote3,0.5,0.7000000000000002,0.6500000000000001,0.7718518544068586,0.7038899086874482,0.9288304069185637
12,vote4,0.5,0.5,0.6000000000000001,0.7713759879910453,0.7114088555827243,0.9267264007010717
286,vote3,0.55,0.6000000000000001,0.7000000000000002,0.77107105904194,0.7108594061343878,0.9176688078756301
331,vote3,0.55,0.7000000000000002,0.6500000000000001,0.77047460621784,0.7113754080095961,0.9150439761870535
221,vote3,0.5,0.8000000000000003,0.6000000000000001,0.7701018375614405,0.7005566428228825,0.9294540840753943
42,vote4,0.5,0.55,0.55,0.7690498055147615,0.7074912948140336,0.927221404029419
26,vote3,0.5,0.5,0.7500000000000002,0.7684543395887585,0.6940505649101107,0.9370757857907741
121,vote3,0.5,0.6500000000000001,0.6500000000000001,0.7672235437533804,0.6960794699943191,0.9315235385980933
247,vote4,0.55,0.55,0.55,0.7672135464690296,0.7175481439363578,0.9096812622568345
186,vote3,0.5,0.7500000000000002,0.6000000000000001,0.7669251971761415,0.695517174298854,0.9310054341794632
72,vote4,0.5,0.6000000000000001,0.5,0.7668992424157403,0.7035771291124183,0.9283489006868126
351,vote3,0.55,0.7500000000000002,0.6000000000000001,0.7666135823014499,0.7040264390346227,0.9174700092655329
306,vote3,0.55,0.6500000000000001,0.6500000000000001,0.7665128259921768,0.7042523174496684,0.9177077209372684
56,vote3,0.5,0.55,0.7000000000000002,0.7655356378059841,0.6915175158275372,0.9353807512722938
261,vote3,0.55,0.55,0.7000000000000002,0.7652261147060152,0.7008223060659314,0.9207998284150537
151,vote3,0.5,0.7000000000000002,0.6000000000000001,0.7625596197139239,0.6885398937780384,0.9330668462413677
326,vote3,0.55,0.7000000000000002,0.6000000000000001,0.7625477895900173,0.6975914516714158,0.9193636828355916
216,vote3,0.5,0.8000000000000003,0.55,0.7614796471884756,0.6852012800612757,0.9351066437168234
7,vote4,0.5,0.5,0.55,0.7613132508879824,0.6956747981563908,0.9299244546764459
281,vote3,0.55,0.6000000000000001,0.6500000000000001,0.7611772043310283,0.6951636803271268,0.9208891756062766
